county_fips,county_name,dma_code,dma_norm,centroid_lat,centroid_lng,n_primary,n_secondary,n_tertiary,dist_any_mi,dist_primary_mi,dist_secondary_mi,dist_tertiary_mi,2019,2020,2021,2022,2023,2024,2025,county_mismatch_2019,county_mismatch_2020,county_mismatch_2021,county_mismatch_2022,county_mismatch_2023,county_mismatch_2024,county_mismatch_2025
1,Alameda,807,sf oakland san jose,37.64555146,-121.8893196,10,0,0,2.659434311,2.659434311,20.64194093,31.33112792,602.95,586.64,733.29,656.39,497.46,654.34,884.57,0,0,0,0,0,0,0
3,Alpine,811,reno,38.59716187,-119.8207379,0,0,0,23.78813903,23.78813903,23.78813903,53.90195406,325.24,342.45,294.6,415.54,325.52,467,500.83,0,0,0,0,0,0,0
5,Amador,862,sacramento stockton modesto,38.44628731,-120.6497455,3,0,1,8.993750854,9.025183767,38.98675818,8.993750854,323.57,320.14,354.49,461.98,447.74,582.81,753.05,0,0,0,0,0,0,0
7,Butte,868,chico redding,39.6668772,-121.5995887,19,5,0,5.917412767,5.917412767,12.40966054,65.12154242,205.41,235.43,220.87,302.25,257.27,462.96,452.76,0,0,0,0,0,0,0
9,Calaveras,862,sacramento stockton modesto,38.20431662,-120.55399,2,0,0,6.390709888,6.390709888,40.25304557,15.58393475,323.57,320.14,354.49,461.98,447.74,582.81,753.05,0,0,0,0,0,0,0
11,Colusa,862,sacramento stockton modesto,39.17712713,-122.237555,0,0,0,23.78571735,23.78571735,33.32226704,60.38342182,323.57,320.14,354.49,461.98,447.74,582.81,753.05,0,0,0,0,1,0,0
13,Contra Costa,807,sf oakland san jose,37.9191606,-121.9278269,10,3,0,5.154398402,5.624692978,5.154398402,28.91906091,602.95,586.64,733.29,656.39,497.46,654.34,884.57,0,0,0,0,0,0,0
15,Del Norte,802,eureka,41.74313953,-123.8987443,0,0,0,64.59003416,64.59003416,112.2071718,112.5378417,331.08,233.66,329.23,352.26,261.78,404.76,549.83,0,0,0,0,0,0,0
17,El Dorado,862,sacramento stockton modesto,38.77927687,-120.525118,5,1,0,14.76699701,14.76699701,29.94567793,32.1258692,323.57,320.14,354.49,461.98,447.74,582.81,753.05,0,0,0,0,0,0,0
19,Fresno,866,fresno visalia,36.75819212,-119.6510577,36,5,0,5.707093735,5.707093735,7.382475121,102.4709899,214.7,280.03,262.84,255.42,212.63,348.78,661.09,0,0,0,0,0,0,0
21,Glenn,868,chico redding,39.59823808,-122.3909024,1,0,0,11.11094972,11.11094972,30.37973562,67.27770309,205.41,235.43,220.87,302.25,257.27,462.96,452.76,0,0,0,0,0,0,0
23,Humboldt,802,eureka,40.69920788,-123.87575,0,0,0,77.65166158,77.65166158,77.99856183,78.12292956,331.08,233.66,329.23,352.26,261.78,404.76,549.83,0,0,0,0,0,0,0
25,Imperial,771,yuma az el centro,33.03953701,-115.3652644,8,0,0,12.18523053,12.18523053,76.25305629,113.6967434,187.74,254.98,318.25,342.83,248.57,329.92,521.07,0,0,0,0,0,0,0
27,Inyo,803,los angeles,36.51151322,-117.4115268,4,0,0,61.81548062,61.81548062,123.1445286,119.8107209,475.31,414.13,469.07,522.88,443.76,611.16,790.86,1,1,1,1,0,1,1
29,Kern,800,bakersfield,35.34295136,-118.730066,34,1,2,14.44214309,14.44214309,20.67107776,15.53667146,192.07,255.13,281.98,267.66,242.93,362.7,536.79,0,0,0,0,0,0,0
31,Kings,866,fresno visalia,36.07536089,-119.8154673,8,1,0,19.28478789,19.28478789,19.30596001,62.29576617,214.7,280.03,262.84,255.42,212.63,348.78,661.09,0,0,0,0,0,0,0
